diaId visitId objectId ra dec mjd mag snr
9269 1639619 2139 262.22658144 -19.7953424086 52399.206079 23.0892 26.2442
9375 1639649 2129 260.633981582 -17.8235910752 52399.219569 24.0884 9.21555
9377 1639649 2139 262.224331232 -19.7945645916 52399.219569 23.0896 26.6249
9789 1639777 2659 295.43408928 -16.3277771523 52399.280979 23.326 13.6971
9937 1639830 2659 295.449182518 -16.3217084506 52399.305879 23.3439 14.7604
10076 1639892 2209 304.372261785 -52.5179961742 52399.334784 22.5437 35.243
10164 1639929 2209 304.374584966 -52.5206081693 52399.353291 22.5439 36.3677
11570 1640550 2209 304.495988356 -52.6473834503 52400.268537 22.3321 27.6364
11651 1640586 2209 304.497934 -52.6497846597 52400.285105 22.333 28.8215
11806 1640673 2209 304.50254582 -52.6555497961 52400.325094 22.3344 31.0959
11966 1640748 2659 296.103270329 -16.0581195431 52400.361383 23.175 14.5062
12075 1640799 2659 296.118682636 -16.0516975074 52400.386792 23.178 14.6476
12792 1641181 1816 242.688202999 -8.92605531927 52401.138256 23.4954 9.37205
12843 1641199 2041 177.938644973 0.964705824788 52401.148757 23.0156 16.1593
12857 1641205 759 186.88915577 -33.2738064468 52401.152735 23.7548 9.47
12889 1641219 1816 242.678791119 -8.91859570304 52401.161146 23.5011 10.416
12953 1641243 2041 177.930083087 0.949691282001 52401.172964 23.0034 14.4637
12967 1641248 759 186.875447702 -33.2737142729 52401.175776 23.7509 8.92678
13052 1641280 2129 260.534953434 -17.6786828639 52401.191179 23.9841 5.95229
13053 1641280 2139 261.890214434 -19.6726362028 52401.191179 22.9656 18.072
13161 1641321 2129 260.533499122 -17.6771705625 52401.211892 23.9834 6.54911
13162 1641321 2139 261.886184026 -19.6713676105 52401.211892 22.9655 19.7582
13166 1641322 2129 260.533467417 -17.6771377541 52401.21234 23.9834 6.76899
13261 1641358 2129 260.5323092 -17.6759429165 52401.228615 23.9827 6.95316
13262 1641358 2139 261.882911298 -19.670335635 52401.228615 22.9653 20.8888
13347 1641389 2129 260.531149573 -17.6747521775 52401.244754 23.9821 7.27015
13348 1641389 2139 261.879739223 -19.6693327338 52401.244754 22.965 21.7699
13430 1641421 2659 296.665398915 -15.8276025942 52401.260137 23.1113 12.571
13523 1641453 2659 296.675362391 -15.8234469415 52401.276354 23.1193 14.1234
