diaId visitId objectId ra dec mjd mag snr
13168 1641323 1238 261.268408806 -15.4795108761 52401.212787 21.5866 74.068
13257 1641356 1238 261.273410927 -15.4904323588 52401.227715 21.5919 76.6262
13442 1641424 69 292.746535956 -22.6815516882 52401.26148 20.0019 209.853
13537 1641457 69 292.742887682 -22.6729022198 52401.278186 20.0084 223.855
14306 1641937 2480 237.30960841 -60.8180739195 52403.110023 22.0228 28.8332
14434 1641985 2480 237.311915271 -60.8090157702 52403.136169 22.0266 30.5698
14507 1642013 2480 237.313255322 -60.8031982256 52403.152721 22.0289 31.4484
14521 1642023 1864 270.153112253 -46.6476334425 52403.157245 22.6181 14.7923
14614 1642065 1864 270.149832373 -46.6485562525 52403.177744 22.6177 16.2716
14818 1642155 1238 262.041440347 -16.9958631306 52403.220833 21.383 64.9114
14993 1642235 69 292.309047315 -21.6373352587 52403.259281 19.8298 189.001
15093 1642272 69 292.304858972 -21.6284696107 52403.276337 19.839 197.635
17307 1643073 1779 237.536101436 2.6627258007 52404.215867 24.3198 13.0197
17983 1643259 2205 308.381533223 -53.8066711805 52404.301973 23.5959 24.5024
18110 1643300 2205 308.400244624 -53.8133767966 52404.321437 23.6046 25.7825
18153 1643325 1408 325.759893375 -44.1266919651 52404.332886 24.2311 12.6136
18307 1643382 1408 325.793622754 -44.0538948227 52404.359187 24.2737 13.4329
19340 1643768 1779 237.229307217 2.6864345209 52405.110178 23.6279 12.3045
19561 1643813 1779 237.221025592 2.6870326356 52405.133875 23.6358 13.7622
20078 1643928 1238 262.803006085 -18.6064492242 52405.190697 21.6064 105.072
20222 1643975 1238 262.810406799 -18.6255188994 52405.212867 21.6232 109.753
20360 1644021 1864 269.803581387 -46.7208887055 52405.234141 22.7264 41.6917
20531 1644092 2205 309.345700147 -54.125204906 52405.266481 22.8423 29.1335
20602 1644122 2205 309.35925942 -54.1300272783 52405.280381 22.8504 30.4811
21001 1644239 1897 330.215368849 -46.5098028173 52405.335129 23.0921 23.6703
21017 1644246 1897 330.218242882 -46.5067881524 52405.338276 23.1099 24.6238
21033 1644250 1408 327.172342753 -41.1392261245 52405.340074 23.4724 17.21
21164 1644276 1897 330.231735767 -46.4925149836 52405.353136 23.1161 24.9619
21180 1644283 1897 330.234585446 -46.4894751802 52405.356292 23.1306 25.749
21196 1644287 1408 327.195098189 -41.0842676121 52405.358087 23.5059 17.8519
22302 1644655 47 241.479865352 -32.8218319817 52406.129044 18.0061 777.591
22400 1644683 47 241.474309786 -32.8281959444 52406.143207 18.0095 798.37
22496 1644718 1864 269.624119189 -46.7484503294 52406.161424 22.6688 21.6621
22606 1644762 1864 269.619430656 -46.7492175808 52406.183224 22.6684 23.7657
23055 1644998 2205 310.375696277 -54.4632073146 52406.291106 22.6915 21.9306
