diaId visitId objectId ra dec mjd mag snr
14912 1642194 2583 292.272567031 -28.1755290457 52403.240247 22.4537 18.9515
16718 1642941 1463 177.888140158 -9.06799969209 52404.153875 24.2032 13.4399
16877 1642982 1463 177.888080246 -9.06995644742 52404.172918 24.2035 12.1049
17133 1643038 1774 236.399741433 -2.00429189242 52404.199193 23.3733 35.1507
17295 1643070 1774 236.393400607 -2.00526994971 52404.214509 23.3777 36.4113
17385 1643086 1365 238.861030119 -7.24059099929 52404.222364 20.8835 265.788
17565 1643135 1365 238.856135458 -7.23842750132 52404.24509 20.883 264.943
19334 1643766 1365 238.67338869 -7.15637186939 52405.10925 20.1991 251.646
19336 1643767 1774 236.030748932 -2.06361754565 52405.109728 22.6556 35.7464
19554 1643811 1774 236.021132958 -2.06516434554 52405.132901 22.6652 39.0249
19557 1643812 1365 238.668180522 -7.1540939206 52405.133385 20.2027 269.329
19741 1643850 1347 242.471993923 -19.1377973119 52405.153231 21.9989 80.2887
19760 1643852 1347 242.471558864 -19.1370523892 52405.154128 21.9989 80.2888
19807 1643865 1833 246.743415767 -5.02238374393 52405.159972 21.9395 76.2853
19954 1643893 1347 242.461516267 -19.1198928515 52405.174752 22.015 82.9134
19965 1643895 1347 242.461077402 -19.1191442809 52405.17565 22.0155 82.9969
20016 1643908 1833 246.743398513 -5.02836945406 52405.181529 21.9425 80.7676
20078 1643928 1238 262.803006085 -18.6064492242 52405.190697 21.6064 105.072
20222 1643975 1238 262.810406799 -18.6255188994 52405.212867 21.6232 109.753
20631 1644134 393 317.027873528 -38.4145919304 52405.285754 21.4606 101.502
20638 1644135 393 317.027960604 -38.4145987724 52405.2862 21.4604 100.844
20727 1644168 393 317.03101084 -38.4148369181 52405.301863 21.4611 107.426
20732 1644169 393 317.03109806 -38.4148436803 52405.302312 21.4613 108.173
22356 1644670 1833 246.776166139 -5.2949861413 52406.137025 21.8875 45.8996
22450 1644697 1833 246.776088768 -5.29875235072 52406.150262 21.8886 48.6851
22487 1644713 2134 265.078635108 -12.9980271891 52406.158912 22.7986 17.0573
22596 1644757 2134 265.082711346 -13.0024633986 52406.180694 22.7991 19.5594
23036 1644990 393 317.225348513 -38.4266899508 52406.287176 21.4293 68.2857
23095 1645021 393 317.228119558 -38.4269446098 52406.30202 21.4294 72.8904
